,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trained on:FusarShip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Overall ,,,,Cargo,,,,Fishing,,,,Tanker,,,,,,,,,,,,,,,,
,Accuracy,Precision,Recall,F1,Accuracy,Precision,Recall,F1,Accuracy,Precision,Recall,F1,Accuracy,Precision,Recall,F1,,,,,,,,,,,,,
CNN-fusar,0.65,0.57,0.65,0.57,0.93,1,0.93,0.96,0.08,1,0.08,0.15,0.07,1,0.07,0.13,,,Overall,,Cargo,,Fishing,,Tanker,,,,Tanker
CNN-Open,0.6,0.59,0.6,0.58,0.81,1,0.81,0.89,0.09,1,0.09,0.16,0.04,1,0.04,0.08,,,Overall,,Cargo,,Fishing,,Tanker,,,,
CNN-Mix,0.61,0.56,0.61,0.57,0.84,1,0.84,0.91,0.08,1,0.08,0.14,0.05,1,0.05,0.1,,Fusar,67.2,,91.87,,9.73,,6.27,,,,
Resnet-fusar,0.67,0.45,0.67,0.54,1,1,1,1,0,0,0,0,0,0,0,0,,Opensarship,70.27,,99.67,,0.27,,0.2,,,,
Resnet-Open,0.73,0.53,0.73,0.62,1,1,1,1,0,0,0,0,0,0,0,0,,Mix,70.33,,97.8,,7.13,,4.13,,,,
Resnet-Mix,0.71,0.51,0.71,0.59,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Vgg-fusar,0.65,0.68,0.65,0.65,0.71,1,0.71,0.83,0.62,1,0.62,0.77,0.23,1,0.23,0.37,,,,,,,,,,,,,
Vgg-Open,0.62,0.6,0.62,0.61,0.77,1,0.77,0.87,0.06,1,0.06,0.12,0.22,1,0.22,0.35,,,,,,,,,,,,,
Vgg-Mix,0.62,0.6,0.62,0.61,0.75,1,0.75,0.86,0.5,1,0.5,0.66,0.19,1,0.19,0.32,,,,F1-scores,,Cargo,,Fishing,,Tanker,,,
F-Resnet-fusar,0.67,0.45,0.67,0.54,1,1,1,1,0,0,0,0,0,0,0,0,,Fusar,,58.6,,98.13,,5.87,,6.07,,,
F-Resnet-Open,0.73,0.53,0.73,0.62,1,1,1,1,0,0,0,0,0,0,0,0,,Opensarship,,59.13,,99.67,,2.8,,3.13,,,
F-Resnet-Mix,0.71,0.51,0.71,0.59,1,1,1,1,0,0,0,0,0,0,0,0,,Mix,,60.07,,98,,14.69,,6.71,,,
F-Vgg-fusar,0.67,0.61,0.67,0.56,0.99,1,0.99,0.99,0.02,1,0.02,0.03,0.12,1,0.12,0.21,,,,,,,,,,,,,
F-Vgg-Open,0.73,0.59,0.73,0.62,0.99,1,0.99,1,0,0,0,0,0.01,1,0.01,0.01,,,,,,,,,,,,,
F-Vgg-Mix,0.71,0.59,0.71,0.6,0.99,1,0.99,1,0.01,1,0.01,0.01,0.01,1,0.01,0.02,,,,,,,,,,,,,
Trained on: Opensarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNN-fusar,0.67,0.55,0.67,0.54,0.99,1,0.99,1,0.01,1,0.01,0.02,0,0,0,0,,,,,,,,,,,,,
CNN-Open,0.73,0.54,0.73,0.62,1,1,1,1,0.01,1,0.01,0.02,0,0,0,0,,,,,,,,,,,,,
CNN-Mix,0.71,0.54,0.71,0.59,1,1,1,1,0.01,1,0.01,0.02,0,0,0,0,,,,,,,,,,,,,
Resnet-fusar,0.67,0.45,0.67,0.54,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Resnet-Open,0.73,0.53,0.73,0.62,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Resnet-Mix,0.71,0.51,0.71,0.59,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Vgg-fusar,0.67,0.45,0.67,0.54,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Vgg-Open,0.73,0.55,0.73,0.62,1,1,1,1,0.01,1,0.01,0.02,0,0,0,0,,,,,,,,,,,,,
Vgg-Mix,0.71,0.51,0.71,0.59,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
F-Resnet-fusar,0.67,0.45,0.67,0.54,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
F-Resnet-Open,0.73,0.53,0.73,0.62,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
F-Resnet-Mix,0.71,0.51,0.71,0.59,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
F-Vgg-fusar,0.67,0.45,0.67,0.54,0.99,1,0.99,1,0,0,0,0,0.01,1,0.01,0.01,,,,,,,,,,,,,
F-Vgg-Open,0.72,0.59,0.72,0.62,0.98,1,0.98,0.99,0,0,0,0,0.01,1,0.01,0.03,,,,,,,,,,,,,
F-Vgg-Mix,0.71,0.54,0.71,0.59,0.99,1,0.99,0.99,0,0,0,0,0.01,1,0.01,0.02,,,,,,,,,,,,,
Trained on: Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNN-fusar,0.67,0.45,0.67,0.54,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
CNN-Open,0.73,0.53,0.73,0.62,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
CNN-Mix,0.71,0.51,0.71,0.59,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Resnet-fusar,0.67,0.45,0.67,0.54,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Resnet-Open,0.73,0.53,0.73,0.62,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Resnet-Mix,0.71,0.51,0.71,0.59,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Vgg-fusar,0.71,0.7,0.71,0.66,0.93,1,0.93,0.97,0.25,1,0.25,0.4,0.26,1,0.26,0.41,,,,,,,,,,,,,
Vgg-Open,0.73,0.53,0.73,0.62,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Vgg-Mix,0.72,0.73,0.72,0.62,0.98,1,0.98,0.99,0.16,1,0.16,0.28,0.01,1,0.01,0.02,,,,,,,,,,,,,
F-Resnet-fusar,0.67,0.45,0.67,0.54,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
F-Resnet-Open,0.73,0.54,0.73,0.62,1,1,1,1,0.14,1,0.14,0.25,0,0,0,0,,,,,,,,,,,,,
F-Resnet-Mix,0.71,0.54,0.71,0.6,1,1,1,1,0.03,1,0.03,0.06,0,0,0,0,,,,,,,,,,,,,
F-Vgg-fusar,0.63,0.6,0.63,0.6,0.81,1,0.81,0.9,0.24,1,0.24,0.38,0.32,1,0.32,0.48,,,,,,,,,,,,,
F-Vgg-Open,0.73,0.6,0.73,0.62,1,1,1,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,
F-Vgg-Mix,0.7,0.65,0.7,0.62,0.95,1,0.95,0.97,0.25,1,0.25,0.4,0.03,1,0.03,0.05,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Averages,0.6926666667,0.542,0.6926666667,0.5915555556,0.9644444444,1,0.9644444444,0.9804444444,0.05711111111,0.4,0.05711111111,0.08644444444,0.03533333333,0.3777777778,0.03533333333,0.058,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNN,0.6755555556,0.5377777778,0.6755555556,0.58,0.9522222222,1,0.9522222222,0.9733333333,0.03111111111,0.6666666667,0.03111111111,0.05666666667,0.01777777778,0.3333333333,0.01777777778,0.03444444444,,,,,,,,,,,,,
Resnet,0.7033333333,0.4966666667,0.7033333333,0.5833333333,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
VGG,0.6844444444,0.5944444444,0.6844444444,0.6133333333,0.9044444444,1,0.9044444444,0.9466666667,0.1777777778,0.6666666667,0.1777777778,0.25,0.1011111111,0.5555555556,0.1011111111,0.1633333333,,,,,,,,,,,,,
Resnet-F,0.7033333333,0.5011111111,0.7033333333,0.5844444444,1,1,1,1,0.01888888889,0.2222222222,0.01888888889,0.03444444444,0,0,0,0,,,,,,,,,,,,,
VGG-F,0.6966666667,0.58,0.6966666667,0.5966666667,0.9655555556,1,0.9655555556,0.9822222222,0.05777777778,0.4444444444,0.05777777778,0.09111111111,0.05777777778,1,0.05777777778,0.09222222222,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graphs,Overall,Cargo,Fishing,Tanker,,,,,,,,,,,,,,,,,,,,,,,,,
Accuracy,69.27,96.44,5.71,3.53,,,,,,,,,,,,,,,,,,,,,,,,,
F1-Score,59.16,98.04,8.64,5.8,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuracy,Overall,Cargo,Fishing,Tanker,,,,,,,,,,,,,,,,,,,,,,,,,
CNN,67.56,95.22,3.11,1.78,,,,,,,,,,,,,,,,,,,,,,,,,
Resnet,70.33,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
VGG,68.44,90.44,17.78,10.11,,,,,,,,,,,,,,,,,,,,,,,,,
Resnet-F,70.33,100,1.89,0,,,,,,,,,,,,,,,,,,,,,,,,,
VGG-F,69.67,96.56,5.78,5.78,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1,Overall,Cargo,Fishing,Tanker,,,,,,,,,,,,,,,,,,,,,,,,,
CNN,58,97.33,5.67,3.44,,,,,,,,,,,,,,,,,,,,,,,,,
Resnet,58.33,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
VGG,61.33,94.67,25,16.33,,,,,,,,,,,,,,,,,,,,,,,,,
Resnet-F,58.44,100,3.44,0,,,,,,,,,,,,,,,,,,,,,,,,,
VGG-F,59.67,98.22,9.11,9.22,,,,,,,,,,,,,,,,,,,,,,,,,